total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover
80.0,44.0,14.0,10.1,12.0,"['千張大戶持股比例近2週變化 +1.52 個百分點', '股東人數近2週變化 -15.49%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 2,008 張（約當期成交量 3.7%）', '近24個交易日融資餘額變化 -30.49%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（69日前），目前拉回25.2%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約14.3%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬32.5%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",3665,TWSE,2200.0,84.24127496756071,80.742740566457,7.522502341872688,0.32480677319382895,middle,buy_support,True,25.170068027210885,14.266117969821673,貿聯-KY,其他電子業,3916.1,8339754324.0
76.0,47.0,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.24 個百分點', '股東人數近2週變化 -7.32%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 3,980 張（約當期成交量 6.3%）', '近24個交易日融資餘額變化 -3.79%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1280.00元（47日前），目前拉回18.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約16.3%', '布林型態中性，無明顯訊號（帶寬27.1%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達12.2%，過度乖離 -> 葛蘭碧賣點③']",3324,TPEx,1045.0,41.574337084011916,35.0341528934227,4.739154402552492,0.27082193918359526,upper,sell_overbought,True,18.359375,16.34265988372093,雙鴻,其他電子類,2871.4,2726290830.0
75.5,44.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.50 個百分點', '股東人數近2週變化 -2.43%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 117,563 張（約當期成交量 15.2%）', '近24個交易日融資餘額變化 -11.69%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（47日前），目前拉回14.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約16.6%', '布林型態中性，無明顯訊號（帶寬17.5%, 型態=normal, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",2317,TWSE,263.0,39.15519589349121,34.942401504223554,2.6374841458258773,0.17467178352123583,upper,neutral,True,14.886731391585762,16.615614477372496,鴻海,其他電子業,55329.9,13728928582.0
71.5,38.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.88 個百分點', '股東人數近2週變化 -0.12%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 746 張（約當期成交量 1.0%）', '近24個交易日融資餘額變化 -13.96%（下降代表籌碼較乾淨）', '近120個交易日內量增創高990.00元（77日前），目前拉回38.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約15.1%', '布林型態中性，無明顯訊號（帶寬37.9%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",3363,TPEx,606.0,32.195593344122976,27.33999620676719,-8.812760194613038,0.37932245993222014,middle,neutral,True,38.78787878787879,15.05050505050505,上詮,通信網路業,3310.6,1854213517.0
70.0,36.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.36 個百分點', '股東人數近2週變化 -2.47%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 6,221 張（約當期成交量 3.2%）', '近24個交易日融資餘額變化 +3.85%（下降代表籌碼較乾淨）', '近120個交易日內量增創高249.00元（26日前），目前拉回28.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約23.6%', '布林型態中性，無明顯訊號（帶寬35.5%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3042,TWSE,179.0,34.539663784593394,29.55052004376165,-5.917393018264637,0.3552429571050542,middle,neutral,True,28.11244979919679,23.63636363636363,晶技,電子工業,14106.3,2339004479.0
69.5,38.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.45 個百分點', '股東人數近2週變化 -5.34%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 1,196 張（約當期成交量 1.9%）', '近24個交易日融資餘額變化 -7.60%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1390.00元（76日前），目前拉回24.5%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約28.3%', '布林型態中性，無明顯訊號（帶寬32.8%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",6187,TPEx,1050.0,53.74746899199281,49.418131758225975,-1.5440395074076418,0.3282435443435162,middle,neutral,True,24.46043165467626,28.314917127071823,萬潤,其他電子類,2886.9,2977280132.0
68.0,36.5,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.04 個百分點', '股東人數近2週變化 -2.59%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 324 張（約當期成交量 -0.5%）', '近24個交易日融資餘額變化 -26.38%（下降代表籌碼較乾淨）', '近120個交易日內量增創高673.00元（35日前），目前拉回30.7%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約31.3%', '布林型態中性，無明顯訊號（帶寬30.6%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",6415,TWSE,466.5,27.07609701822804,22.990044326965105,-11.916038581970955,0.3058626308026356,middle,neutral,True,30.683506686478456,31.328545780969478,矽力*-KY,電子工業,4610.6,2010674639.0
64.0,47.0,8.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.15 個百分點', '股東人數近2週變化 -11.26%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 284,150 張（約當期成交量 20.1%）', '近24個交易日融資餘額變化 -7.93%（下降代表籌碼較乾淨）', '近120個交易日內量增創高195.00元（5日前），目前拉回2.1%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約11.4%', '布林型態中性，無明顯訊號（帶寬43.1%, 型態=wide, 位置=middle, 開喇叭=是）', '月線上揚但乖離率達11.6%，過度乖離 -> 葛蘭碧賣點③']",3231,TWSE,191.0,81.18550374110532,76.95545317398987,18.52311511014582,0.4309598614881969,middle,sell_overbought,True,2.051282051282051,11.35646687697161,緯創,電子工業,101059.0,17873424829.0
64.0,35.0,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.19 個百分點', '股東人數近2週變化 -0.66%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 6,837 張（約當期成交量 2.9%）', '近24個交易日融資餘額變化 -5.35%（下降代表籌碼較乾淨）', '近120個交易日內量增創高718.00元（68日前），目前拉回29.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約20.7%', '布林型態中性，無明顯訊號（帶寬55.3%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達21.2%，過度乖離 -> 葛蘭碧賣點③']",4979,TPEx,510.0,44.33196969643794,37.148326096256895,2.850228556063456,0.5525664224872145,upper,sell_overbought,True,28.969359331476323,20.65868263473054,華星光,通信網路業,10735.9,4629983384.0
62.5,33.5,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.37 個百分點', '股東人數近2週變化 +1.67%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 1,922 張（約當期成交量 2.0%）', '近24個交易日融資餘額變化 -27.25%（下降代表籌碼較乾淨）', '近120個交易日內量增創高870.00元（53日前），目前拉回44.7%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約12.6%', '布林型態中性，無明顯訊號（帶寬48.1%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達16.9%，過度乖離 -> 葛蘭碧賣點③']",4991,TPEx,481.0,25.690189023215986,21.203925369515076,-11.379966836578022,0.4809825670211583,upper,sell_overbought,True,44.712643678160916,12.627986348122866,環宇-KY,半導體業,4476.1,1876410695.0
