total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover,news_theme,news_summary
73.0,39.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.26 個百分點', '股東人數近2週變化 +0.78%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 292 張（約當期成交量 1.2%）', '近24個交易日融資餘額變化 -14.62%（下降代表籌碼較乾淨）', '近120個交易日內量增創高872.00元（74日前），目前拉回45.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約15.6%', '布林型態中性，無明顯訊號（帶寬38.6%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",4971,TPEx,480.0,22.345310115990088,15.722103091726776,-11.381888673497642,0.386035961077302,upper,neutral,True,44.95412844036697,15.649867374005305,IET-KY,半導體業,1075.8,443701006.0,IC製造,
72.5,41.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.18 個百分點', '股東人數近2週變化 -1.01%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 121,952 張（約當期成交量 15.4%）', '近24個交易日融資餘額變化 -12.74%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（44日前），目前拉回14.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約18.1%', '布林型態中性，無明顯訊號（帶寬16.1%, 型態=normal, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",2317,TWSE,264.5,33.50592899767566,27.924676079078818,3.5157523971039017,0.16093705625709886,upper,neutral,True,14.401294498381878,18.101545253863137,鴻海,其他電子業,56724.1,13931295560.0,機器人,
67.0,44.0,14.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.68 個百分點', '股東人數近2週變化 -19.30%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 3,518 張（約當期成交量 7.1%）', '近24個交易日融資餘額變化 -37.19%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（66日前），目前拉回19.4%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約13.9%', '布林型態中性，無明顯訊號（帶寬37.7%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達15.2%，過度乖離 -> 葛蘭碧賣點③']",3665,TWSE,2370.0,80.10686661630012,74.20027418492468,15.590960819378955,0.37655313351631103,upper,sell_overbought,True,19.387755102040817,13.854595336076816,貿聯-KY,其他電子業,3538.1,7399498064.0,電線電纜,
65.5,44.0,8.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.42 個百分點', '股東人數近2週變化 -5.47%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 26,418 張（約當期成交量 11.1%）', '近24個交易日融資餘額變化 -21.03%（下降代表籌碼較乾淨）', '近120個交易日內量增創高155.00元（11日前），目前拉回0.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約30.7%', '布林型態中性，無明顯訊號（帶寬14.4%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2377,TWSE,154.0,84.76971714164614,80.21192077261472,12.45664212255827,0.14437802237375014,upper,neutral,True,0.6451612903225806,30.72139303482587,微星,電子工業,16995.5,2498688917.0,週邊產品,
63.5,38.0,12.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.64 個百分點', '股東人數近2週變化 -1.68%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 1,605 張（約當期成交量 2.8%）', '近24個交易日融資餘額變化 -10.39%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1280.00元（44日前），目前拉回17.2%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約20.2%', '布林型態中性，無明顯訊號（帶寬22.0%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3324,TPEx,1060.0,33.741222710086575,24.576362892843857,6.233714171176594,0.21953135244363015,upper,neutral,True,17.1875,20.20142180094787,雙鴻,其他電子類,2612.8,2428462154.0,散熱模組,
60.5,30.5,20.0,2.6,7.5,"['千張大戶持股比例近2週變化 +1.07 個百分點', '股東人數近2週變化 -0.74%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計賣超 90 張（約當期成交量 -0.1%）', '近24個交易日融資餘額變化 -4.68%（下降代表籌碼較乾淨）', '近120個交易日內量增創高990.00元（74日前），目前拉回39.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約15.4%', '布林剛開喇叭，但三大法人為賣超方向，屬於應避開的型態（準則h）（帶寬36.1%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",3363,TPEx,604.0,25.384550879207723,19.66313702687087,-10.831159883863984,0.36125704189024893,middle,neutral,True,38.98989898989899,15.384615384615385,上詮,通信網路業,3310.4,1848437988.0,光通訊,
59.0,50.0,0.0,6.0,3.0,"['千張大戶持股比例近2週變化 +5.12 個百分點', '股東人數近2週變化 -10.36%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 292,743 張（約當期成交量 21.6%）', '近24個交易日融資餘額變化 -11.48%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬46.1%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達15.3%，過度乖離 -> 葛蘭碧賣點③']",3231,TWSE,189.5,78.43369923970563,70.12074245655268,19.4892543744417,0.4608085373976501,upper,sell_overbought,False,2.8205128205128207,11.35646687697161,緯創,電子工業,96782.3,16874618925.0,電腦系統業,
58.0,41.0,8.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.56 個百分點', '股東人數近2週變化 -0.70%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 2,834 張（約當期成交量 5.2%）', '近24個交易日融資餘額變化 -16.58%（下降代表籌碼較乾淨）', '近120個交易日內量增創高304.50元（45日前），目前拉回8.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約37.1%', '布林型態中性，無明顯訊號（帶寬33.8%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達22.6%，過度乖離 -> 葛蘭碧賣點③']",4967,TWSE,280.0,51.626094251271795,37.63365783465203,8.534143032495633,0.3375203764751083,upper,sell_overbought,True,8.045977011494253,37.08474576271187,十銓,電子工業,3907.6,934282642.0,電子零件元件,
58.0,24.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 -0.14 個百分點', '股東人數近2週變化 -0.74%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,545 張（約當期成交量 9.9%）', '近24個交易日融資餘額變化 +7.06%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1555.00元（61日前），目前拉回20.6%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約11.6%', '布林型態中性，無明顯訊號（帶寬25.6%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",8210,TWSE,1235.0,32.47289386101093,22.985930296133404,-3.310411420071243,0.25573841723381974,upper,neutral,True,20.578778135048232,11.568938193343898,勤誠,電腦及週邊設備業,1116.2,1246170155.0,電子零件元件,
57.5,44.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.47 個百分點', '股東人數近2週變化 -4.42%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 8,130 張（約當期成交量 8.1%）', '近24個交易日融資餘額變化 -24.82%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬12.4%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2376,TWSE,344.0,38.43139580372972,38.334709446460785,1.2956419316843277,0.12436264633301289,middle,neutral,False,13.784461152882205,15.930599369085174,技嘉,電子工業,7160.5,2409188393.0,週邊產品,
