total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover,news_theme,news_summary
81.5,50.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.17 個百分點', '股東人數近2週變化 -3.21%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 15,242 張（約當期成交量 5.0%）', '近26個交易日融資餘額變化 -13.60%（下降代表籌碼較乾淨）', '近120個交易日內量增創高278.00元（49日前），目前拉回29.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約39.5%', '布林型態中性，無明顯訊號（帶寬10.2%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",5483,TPEx,195.0,28.837736806626747,25.936535585793163,1.5713169545967602,0.10216985810564935,upper,neutral,True,29.856115107913666,39.5,中美晶,半導體業,13194.1,2414802337.0,IC製造,
80.0,38.0,20.0,10.1,12.0,"['千張大戶持股比例近2週變化 +0.18 個百分點', '股東人數近2週變化 -1.55%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 29,799 張（約當期成交量 14.4%）', '近26個交易日融資餘額變化 -8.79%（下降代表籌碼較乾淨）', '近120個交易日內量增創高417.00元（77日前），目前拉回18.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約14.6%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬6.3%, 型態=normal, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",2382,TWSE,342.0,55.13006675909148,53.70224543883754,1.9906061283829157,0.06348915190487327,middle,buy_support,True,17.985611510791365,14.634146341463413,廣達,電子工業,14787.2,5003308362.0,電腦系統業,
72.5,41.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.90 個百分點', '股東人數近2週變化 -3.33%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 155,020 張（約當期成交量 8.5%）', '近26個交易日融資餘額變化 -6.84%（下降代表籌碼較乾淨）', '近120個交易日內量增創高88.70元（80日前），目前拉回19.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約21.1%', '布林型態中性，無明顯訊號（帶寬10.7%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",6770,TWSE,71.8,65.84273776170451,60.97825363351187,4.4882911507536996,0.10742420672305296,middle,neutral,True,19.05298759864713,21.08229988726043,力積電,半導體業,130945.6,9325064313.0,IC製造,
68.5,26.0,20.0,7.5,15.0,"['千張大戶持股比例近2週變化 +0.06 個百分點', '股東人數近2週變化 -0.59%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 10,880 張（約當期成交量 -2.5%）', '近26個交易日融資餘額變化 +8.15%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（77日前），目前拉回18.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.4%', '布林帶寬收縮、尚未開喇叭，屬盤整待變階段（帶寬4.7%, 型態=narrow, 位置=middle, 開喇叭=否）', '月線上揚，股價向上突破月線 -> 葛蘭碧買點①']",2317,TWSE,253.0,50.57719503506851,48.57115716691171,1.7426273458445078,0.04690576658519957,middle,buy_breakout,True,18.12297734627832,17.36641221374046,鴻海,其他電子業,31223.2,7849145830.0,機器人,
66.0,24.0,20.0,10.1,12.0,"['千張大戶持股比例近2週變化 +0.23 個百分點', '股東人數近2週變化 +2.28%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計賣超 5,106 張（約當期成交量 -4.0%）', '近26個交易日融資餘額變化 -28.01%（下降代表籌碼較乾淨）', '近120個交易日內量增創高469.00元（83日前），目前拉回17.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.4%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬14.9%, 型態=normal, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",3211,TPEx,385.0,45.54918876397319,43.174899792740554,1.9462465245597835,0.14875805738522863,middle,buy_support,True,17.91044776119403,17.44428289316638,順達,電腦及週邊設備業,5503.1,2114803016.0,電池,
64.0,30.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.44 個百分點', '股東人數近2週變化 -0.81%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 64,772 張（約當期成交量 2.3%）', '近26個交易日融資餘額變化 +1.09%（下降代表籌碼較乾淨）', '近120個交易日內量增創高70.90元（62日前），目前拉回28.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.1%', '布林型態中性，無明顯訊號（帶寬10.2%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3481,TWSE,50.5,28.058918733537922,26.07020235825027,-2.005174644243205,0.10242298050958124,upper,neutral,True,28.77291960507758,17.147192716236727,群創,光電業,199760.2,9796375380.0,面板業,
63.0,31.0,10.0,10.1,12.0,"['千張大戶持股比例近2週變化 +1.06 個百分點', '股東人數近2週變化 -3.83%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,036 張（約當期成交量 1.5%）', '近26個交易日融資餘額變化 +11.73%（下降代表籌碼較乾淨）', '近120個交易日內量增創高951.00元（73日前），目前拉回9.1%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約18.8%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬27.0%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",3167,TWSE,864.0,74.4195208714453,73.09476178979175,16.112125250579552,0.27041314427106816,middle,buy_support,True,9.14826498422713,18.76379690949227,大量,電機機械,5062.3,4210472071.0,印刷電路板相關,
62.5,33.5,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.75 個百分點', '股東人數近2週變化 -2.14%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 10,559 張（約當期成交量 1.0%）', '近26個交易日融資餘額變化 +0.30%（下降代表籌碼較乾淨）', '近120個交易日內量增創高189.50元（51日前），目前拉回37.2%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約22.9%', '布林型態中性，無明顯訊號（帶寬15.4%, 型態=normal, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達8.2%，過度乖離 -> 葛蘭碧賣點③']",6182,TPEx,119.0,29.02288165369589,26.60413695493085,-0.7616611997553854,0.1544495127072409,upper,sell_overbought,True,37.203166226912934,22.901849217638684,合晶,半導體業,46918.2,5219929856.0,IC製造,
62.0,32.0,8.0,10.1,12.0,"['千張大戶持股比例近2週變化 -0.08 個百分點', '股東人數近2週變化 -1.68%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 9,336 張（約當期成交量 20.2%）', '近26個交易日融資餘額變化 -10.55%（下降代表籌碼較乾淨）', '近120個交易日內量增創高567.00元（65日前），目前拉回1.8%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約12.8%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬6.8%, 型態=normal, 位置=upper, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",3034,TWSE,557.0,81.05460879709693,74.8809267922048,5.880116588518555,0.06773744298734827,upper,buy_support,True,1.763668430335097,12.834224598930483,聯詠,半導體業,3295.2,1800327051.0,IC設計,
62.0,41.0,12.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.60 個百分點', '股東人數近2週變化 -9.00%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 37,851 張（約當期成交量 10.9%）', '近26個交易日融資餘額變化 -5.44%（下降代表籌碼較乾淨）', '近120個交易日內量增創高220.00元（62日前），目前拉回21.4%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約24.6%', '布林型態中性，無明顯訊號（帶寬20.0%, 型態=normal, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達10.0%，過度乖離 -> 葛蘭碧賣點③']",5347,TPEx,173.0,40.94923254029184,35.96519823006591,6.7461949814891025,0.19979138248127976,upper,sell_overbought,True,21.363636363636363,24.560000000000002,世界,半導體業,15062.9,2413487256.0,IC製造,
