total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover
76.0,47.0,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.24 個百分點', '股東人數近2週變化 -7.32%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 3,280 張（約當期成交量 5.2%）', '近24個交易日融資餘額變化 -2.98%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1280.00元（46日前），目前拉回21.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.6%', '布林型態中性，無明顯訊號（帶寬25.5%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達9.5%，過度乖離 -> 葛蘭碧賣點③']",3324,TPEx,1010.0,38.13470150230653,31.76406079812808,1.3157674752980129,0.25477621058277133,upper,sell_overbought,True,21.09375,17.636799125514404,雙鴻,其他電子類,2879.2,2711962544.0
75.5,44.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.50 個百分點', '股東人數近2週變化 -2.43%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 136,132 張（約當期成交量 17.2%）', '近24個交易日融資餘額變化 -10.59%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（46日前），目前拉回14.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.7%', '布林型態中性，無明顯訊號（帶寬17.4%, 型態=normal, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",2317,TWSE,264.5,37.87565098309395,32.836004309589725,3.3203125,0.17350469009869937,upper,neutral,True,14.401294498381878,17.738359201773836,鴻海,其他電子業,56505.9,13972057638.0
74.5,41.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.36 個百分點', '股東人數近2週變化 -2.47%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 4,940 張（約當期成交量 2.5%）', '近24個交易日融資餘額變化 -18.25%（下降代表籌碼較乾淨）', '近120個交易日內量增創高249.00元（25日前），目前拉回27.5%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約23.4%', '布林型態中性，無明顯訊號（帶寬36.3%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3042,TWSE,180.5,32.41294395275216,27.055948173345776,-4.837221563200217,0.36323323575054933,middle,neutral,True,27.510040160642568,23.388429752066113,晶技,電子工業,14196.4,2359324734.0
71.5,44.0,14.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.52 個百分點', '股東人數近2週變化 -15.49%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 2,883 張（約當期成交量 5.3%）', '近24個交易日融資餘額變化 -40.74%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（68日前），目前拉回25.5%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約14.3%', '布林型態中性，無明顯訊號（帶寬35.5%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3665,TWSE,2190.0,83.30907487795554,78.99347336590515,7.125387249307032,0.35528782772833184,middle,neutral,True,25.510204081632654,14.266117969821673,貿聯-KY,其他電子業,3878.0,8196657273.0
68.0,36.5,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.45 個百分點', '股東人數近2週變化 -5.34%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 2,673 張（約當期成交量 4.5%）', '近24個交易日融資餘額變化 +2.93%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1390.00元（75日前），目前拉回21.6%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約28.2%', '布林型態中性，無明顯訊號（帶寬32.9%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",6187,TPEx,1090.0,56.48327245350646,47.25346314134256,2.087008101400181,0.32908099184439865,middle,neutral,True,21.58273381294964,28.201438848920862,萬潤,其他電子類,2700.3,2774783592.0
64.5,41.0,10.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.10 個百分點', '股東人數近2週變化 -0.90%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 17,449 張（約當期成交量 5.0%）', '近24個交易日融資餘額變化 -13.55%（下降代表籌碼較乾淨）', '近120個交易日內量增創高42.70元（46日前），目前拉回11.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約25.4%', '布林型態中性，無明顯訊號（帶寬25.3%, 型態=wide, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",1605,TWSE,38.0,43.658071528273204,33.49784494405492,6.477373558118924,0.25335162592759336,upper,neutral,True,11.007025761124128,25.395033860045146,華新,電器電纜,25091.8,836639128.0
61.0,38.0,14.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.19 個百分點', '股東人數近2週變化 -0.66%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 6,877 張（約當期成交量 3.1%）', '近24個交易日融資餘額變化 -7.25%（下降代表籌碼較乾淨）', '近120個交易日內量增創高718.00元（67日前），目前拉回25.3%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約20.6%', '布林型態中性，無明顯訊號（帶寬52.2%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達29.1%，過度乖離 -> 葛蘭碧賣點③']",4979,TPEx,536.0,42.48021056493574,33.55650429616637,8.017331138951404,0.5224882064822033,upper,sell_overbought,True,25.348189415041784,20.59925093632959,華星光,通信網路業,10038.7,4238898510.0
60.5,47.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.05 個百分點', '股東人數近2週變化 -4.48%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 157,467 張（約當期成交量 23.7%）', '近24個交易日融資餘額變化 -9.83%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬14.1%, 型態=normal, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2610,TWSE,20.45,53.709853451597596,58.69146847043048,-2.2739038668312723,0.14109546852734464,lower,neutral,False,15.495867768595042,20.037105751391458,華航,航運業,47436.8,1015915927.0
59.0,50.0,0.0,6.0,3.0,"['千張大戶持股比例近2週變化 +3.51 個百分點', '股東人數近2週變化 -7.50%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 18,661 張（約當期成交量 11.3%）', '近24個交易日融資餘額變化 -24.55%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬54.8%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達29.3%，過度乖離 -> 葛蘭碧賣點③']",3006,TWSE,275.5,76.39411243730477,58.63974456414056,22.485272868734015,0.548482339285388,upper,sell_overbought,False,0.0,29.48231613652542,晶豪科,半導體業,11790.0,2653918972.0
59.0,50.0,0.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.65 個百分點', '股東人數近2週變化 -4.95%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 34,931 張（約當期成交量 6.0%）', '近24個交易日融資餘額變化 -24.60%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬56.3%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達28.6%，過度乖離 -> 葛蘭碧賣點③']",5351,TPEx,114.0,80.73873476592829,63.09144643457893,29.788808561507363,0.5634517582887595,upper,sell_overbought,False,0.0,24.740663900414944,鈺創,半導體業,26514.7,2505763713.0
59.0,50.0,0.0,6.0,3.0,"['千張大戶持股比例近2週變化 +2.00 個百分點', '股東人數近2週變化 -12.86%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 64,520 張（約當期成交量 16.6%）', '近24個交易日融資餘額變化 -23.25%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬43.7%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達23.8%，過度乖離 -> 葛蘭碧賣點③']",2301,TWSE,271.5,81.72935823667501,69.00721593538948,23.662035982691865,0.43705042471709993,upper,sell_overbought,False,0.0,10.340322528934628,光寶科,電腦及週邊設備業,27762.8,6313629318.0
59.0,29.0,20.0,2.6,7.5,"['千張大戶持股比例近2週變化 +0.44 個百分點', '股東人數近2週變化 +0.16%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 2,204 張（約當期成交量 -2.0%）', '近24個交易日融資餘額變化 -29.19%（下降代表籌碼較乾淨）', '近120個交易日內量增創高523.00元（18日前），目前拉回45.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約44.0%', '布林剛開喇叭，但三大法人為賣超方向，屬於應避開的型態（準則h）（帶寬91.5%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",3532,TWSE,283.0,28.59211943523709,30.877606059675937,-17.774388029345538,0.9151887798626648,middle,neutral,True,45.88910133843212,43.97260273972603,台勝科,半導體業,7852.7,3343484331.0
