total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover,news_theme,news_summary
77.0,41.0,14.0,10.1,12.0,"['千張大戶持股比例近2週變化 +1.52 個百分點', '股東人數近2週變化 -15.49%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,485 張（約當期成交量 2.7%）', '近24個交易日融資餘額變化 -30.06%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（70日前），目前拉回26.7%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約14.3%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬31.1%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",3665,TWSE,2155.0,84.27565754523619,81.9203795593834,5.211766141828391,0.310641470520253,middle,buy_support,True,26.700680272108844,14.275916127767978,貿聯-KY,其他電子業,3903.1,8351475735.0,電線電纜,
74.5,41.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.04 個百分點', '股東人數近2週變化 -2.59%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 671 張（約當期成交量 1.0%）', '近24個交易日融資餘額變化 -18.15%（下降代表籌碼較乾淨）', '近120個交易日內量增創高673.00元（36日前），目前拉回33.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約31.4%', '布林型態中性，無明顯訊號（帶寬27.9%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",6415,TWSE,449.0,26.785671104521505,24.25525325281724,-15.046591930372259,0.27916408383607527,middle,neutral,True,33.28380386329866,31.41831238779174,矽力*-KY,電子工業,4670.4,2029342502.0,IC設計,
74.5,41.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.89 個百分點', '股東人數近2週變化 -1.44%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 5,989 張（約當期成交量 3.1%）', '近24個交易日融資餘額變化 -33.49%（下降代表籌碼較乾淨）', '近120個交易日內量增創高185.00元（67日前），目前拉回42.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約16.2%', '布林型態中性，無明顯訊號（帶寬25.4%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",1785,TPEx,106.5,25.467530023623898,25.050910749698165,-18.59042959792082,0.25357135960617894,middle,neutral,True,42.432432432432435,16.223776223776227,光洋科,其他電子類,8357.6,888521966.0,貴金屬,
70.0,47.0,14.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.24 個百分點', '股東人數近2週變化 -7.32%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 3,909 張（約當期成交量 5.8%）', '近24個交易日融資餘額變化 -4.57%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1280.00元（48日前），目前拉回18.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約16.4%', '布林型態中性，無明顯訊號（帶寬28.9%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達11.8%，過度乖離 -> 葛蘭碧賣點③']",3324,TPEx,1050.0,44.21107008349935,38.09312529011492,5.12088902237573,0.28850149430910765,upper,sell_overbought,True,17.96875,16.40625,雙鴻,其他電子類,2917.9,2783515647.0,散熱模組,
70.0,36.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.36 個百分點', '股東人數近2週變化 -2.47%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 8,624 張（約當期成交量 4.3%）', '近24個交易日融資餘額變化 +2.90%（下降代表籌碼較乾淨）', '近120個交易日內量增創高249.00元（27日前），目前拉回27.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約23.7%', '布林型態中性，無明顯訊號（帶寬34.1%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3042,TWSE,181.5,36.67586781041859,31.925635965980632,-4.890829694323149,0.3414142810746601,middle,neutral,True,27.10843373493976,23.727832742206456,晶技,電子工業,14287.7,2367993112.0,被動元件,
69.5,44.0,12.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.50 個百分點', '股東人數近2週變化 -2.43%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 98,580 張（約當期成交量 12.5%）', '近24個交易日融資餘額變化 -12.25%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（48日前），目前拉回12.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約16.6%', '布林型態中性，無明顯訊號（帶寬18.5%, 型態=normal, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",2317,TWSE,270.0,42.674892500422715,37.51989850295661,5.222135619641456,0.18468027716769705,upper,neutral,True,12.62135922330097,16.603053435114504,鴻海,其他電子業,56540.3,14111696140.0,機器人,
67.0,38.0,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.88 個百分點', '股東人數近2週變化 -0.12%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 942 張（約當期成交量 1.2%）', '近24個交易日融資餘額變化 -17.59%（下降代表籌碼較乾淨）', '近120個交易日內量增創高990.00元（78日前），目前拉回36.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約15.2%', '布林型態中性，無明顯訊號（帶寬39.2%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達13.4%，過度乖離 -> 葛蘭碧賣點③']",3363,TPEx,630.0,34.70104028154152,29.793677565025305,-4.785894206549113,0.39192530523376523,upper,sell_overbought,True,36.36363636363637,15.2,上詮,通信網路業,3431.3,1933696406.0,光通訊,
67.0,50.0,8.0,6.0,3.0,"['千張大戶持股比例近2週變化 +4.15 個百分點', '股東人數近2週變化 -11.26%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 261,330 張（約當期成交量 18.3%）', '近24個交易日融資餘額變化 -15.42%（下降代表籌碼較乾淨）', '近120個交易日內量增創高195.00元（6日前），目前拉回0.8%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約11.4%', '布林型態中性，無明顯訊號（帶寬41.6%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚但乖離率達11.5%，過度乖離 -> 葛蘭碧賣點③']",3231,TWSE,193.5,83.20168334513406,79.0375298977046,19.35848668654261,0.4157491855654994,middle,sell_overbought,True,0.7692307692307693,11.35646687697161,緯創,電子工業,101910.8,18100829894.0,電腦系統業,
63.0,44.0,10.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.53 個百分點', '股東人數近2週變化 -2.50%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 66,176 張（約當期成交量 8.6%）', '近24個交易日融資餘額變化 -19.58%（下降代表籌碼較乾淨）', '近120個交易日內量增創高47.05元（48日前），目前拉回15.2%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約22.7%', '布林型態中性，無明顯訊號（帶寬14.3%, 型態=normal, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達10.0%，過度乖離 -> 葛蘭碧賣點③']",2324,TWSE,39.9,49.89197571151973,46.03418973945163,10.015854415109926,0.14273026807102035,upper,sell_overbought,True,15.196599362380445,22.741764080765137,仁寶,電子工業,54914.9,2007264227.0,家電,
62.5,33.5,20.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.37 個百分點', '股東人數近2週變化 +1.67%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 207 張（約當期成交量 0.2%）', '近24個交易日融資餘額變化 -26.82%（下降代表籌碼較乾淨）', '近120個交易日內量增創高870.00元（54日前），目前拉回44.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約13.1%', '布林型態中性，無明顯訊號（帶寬50.2%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達16.9%，過度乖離 -> 葛蘭碧賣點③']",4991,TPEx,484.5,26.621566201307754,23.009805646779306,-10.146047446101544,0.5022586657590568,upper,sell_overbought,True,44.310344827586206,13.090128755364807,環宇-KY,半導體業,4909.7,2095026518.0,IC製造,
62.0,41.0,12.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.59 個百分點', '股東人數近2週變化 -2.54%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 42,335 張（約當期成交量 8.9%）', '近24個交易日融資餘額變化 -6.03%（下降代表籌碼較乾淨）', '近120個交易日內量增創高85.40元（48日前），目前拉回19.2%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約22.0%', '布林型態中性，無明顯訊號（帶寬20.7%, 型態=wide, 位置=upper, 開喇叭=否）', '月線上揚但乖離率達10.1%，過度乖離 -> 葛蘭碧賣點③']",2356,TWSE,69.0,42.6640412848129,40.46544327916065,5.63380281690142,0.2072174899364076,upper,sell_overbought,True,19.203747072599537,21.952296819787986,英業達,電子工業,34144.8,2145897348.0,電腦系統業,
61.0,38.0,14.0,6.0,3.0,"['千張大戶持股比例近2週變化 +0.19 個百分點', '股東人數近2週變化 -0.66%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 9,956 張（約當期成交量 3.8%）', '近24個交易日融資餘額變化 -4.91%（下降代表籌碼較乾淨）', '近120個交易日內量增創高718.00元（69日前），目前拉回21.9%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約20.8%', '布林型態中性，無明顯訊號（帶寬61.6%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達31.0%，過度乖離 -> 葛蘭碧賣點③']",4979,TPEx,561.0,49.87572800210354,41.39079339820578,13.09723808883811,0.6159295219498089,upper,sell_overbought,True,21.866295264623954,20.758483033932134,華星光,通信網路業,11400.0,5034316285.0,光通訊,
60.5,47.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.52 個百分點', '股東人數近2週變化 -1.84%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 10,765 張（約當期成交量 3.6%）', '近24個交易日融資餘額變化 -15.30%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬19.3%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3260,TPEx,409.5,50.30578551233422,47.949760796102765,0.8641392475214991,0.1927813545777956,middle,neutral,False,22.0,14.581280788177336,威剛,半導體業,12874.3,5074283319.0,電子零件元件,
60.0,41.0,10.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.45 個百分點', '股東人數近2週變化 -5.34%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 2,221 張（約當期成交量 3.2%）', '近24個交易日融資餘額變化 -8.65%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1390.00元（77日前），目前拉回16.9%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約28.4%', '布林型態中性，無明顯訊號（帶寬34.5%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達13.1%，過度乖離 -> 葛蘭碧賣點③']",6187,TPEx,1155.0,59.466703465926244,52.767655660792734,8.267716535433076,0.34466685442135236,upper,sell_overbought,True,16.906474820143885,28.360957642725598,萬潤,其他電子類,3027.3,3145971110.0,設備儀器商,
59.0,50.0,0.0,6.0,3.0,"['千張大戶持股比例近2週變化 +2.00 個百分點', '股東人數近2週變化 -12.86%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 58,042 張（約當期成交量 13.8%）', '近24個交易日融資餘額變化 -21.35%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬49.1%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達15.7%，過度乖離 -> 葛蘭碧賣點③']",2301,TWSE,259.5,83.95892269264765,77.51157578618464,17.164572202573563,0.4909846188518072,upper,sell_overbought,False,4.41988950276243,10.320284697508896,光寶科,電腦及週邊設備業,30125.2,7036854049.0,車用電子,
